病診区分,"
医療機関コード",医療機関名,都道府県コード,郵便番号,住所,構想区域コード,構想区域名,市町村コード,市町村名称,高度急性期機能の有無,急性期機能の有無,回復期機能の有無,慢性期機能の有無,科目,２．許可病床数・稼働病床数,,,,,,,,,救急医療の実施状況,,,,,職員数,,,,,,,,,,,,,,,,,,６．入院患者数の状況【平成29年7月1日～平成30年6月30日の1年間】,８．全身管理の状況【「平成30年６月診療分」であってかつ「平成30年７月審査分」】,,,,,,,,９．疾患に応じたリハビリテーション・早期からのリハビリテーションの実施状況【「平成30年６月診療分」であってかつ「平成30年７月審査分」】,10．長期療養患者の受入状況【「平成30年６月診療分」であってかつ「平成30年７月審査分」】
病院,1313010061,東京医科歯科大学歯学部附属病院,13,〒113－0034,東京都文京区湯島一丁目５番４５号,1301,区中央部,13105,東京都文京区,〇,  ,  ,  ,"歯科,口腔外科,他",60,60,0,0,0,0,0,0,0,239,*,40,*,*,0,0,55,0.8,0,0,9,3.1,0,0,0,0,0,0,8,0,17,0.8,1726,0,0,0,0,14,0,0,0,0,0
病院,1313010063,東京歯科大学　水道橋病院,13,〒101－0061,東京都千代田区神田三崎町二丁目９番１８号,1301,区中央部,13101,東京都千代田区,   ,〇,  ,  ,"内科,歯科,口腔外科,眼科,他",20,20,0,0,0,0,0,0,0,67,0,60,0,*,4,0.8,25,4.8,0,0,0,0.9,0,0,0,0,0,0,6,1.3,5,2.3,821,0,0,43,0,15,0,0,0,0,0
病院,1313010064,東京慈惠会医科大学附属病院,13,〒105－0003,東京都港区西新橋三丁目１９番１８号,1301,区中央部,13103,東京都港区,〇,〇,  ,  ,"内科,消化器内科,消化器外科,脳神経内科,内分泌科,循環器内科,呼吸器内科,精神科,小児科,皮膚科,外科,乳腺科,呼吸器外科,小児外科,整形外科,脳神経外科,形成外科,心臓血管外科,産科,婦人科,泌尿器科,眼科,耳鼻咽喉科,リハビリテーション科,歯科,口腔外科,麻酔科,放射線科,救急科,病理診断科,他",1026,1026,0,0,0,0,0,0,0,2643,138,7169,420,7010,664,20.9,978,3.2,0,0,77,0,19,0.1,7,0,3,0,75,1.5,144,0.7,25034,78,711,183,71,179,11,38,0,352,0
病院,1313010065,東京大学医科学研究所附属病院,13,〒108－0071,東京都港区白金台四丁目６番１号,1301,区中央部,13103,東京都港区,   ,〇,  ,  ,"内科,放射線科,外科,麻酔科,歯科,泌尿器科,消化器内科,他",135,104,6,0,0,0,0,0,0,0,0,0,0,16,46,12.1,88,2,1,2,0,5.8,2,0,0,0,0,0,7,1,8,0,0,49,36,0,0,0,0,0,0,13,0
病院,1313010066,東京大学医学部附属病院,13,〒113－0033,東京都文京区本郷七丁目３番１号,1301,区中央部,13105,東京都文京区,〇,  ,  ,  ,"内科,循環器内科,呼吸器内科,消化器内科,糖尿病内科,アレルギー科,脳神経内科,外科,乳腺科,呼吸器外科,脳神経外科,麻酔科,泌尿器科,皮膚科,眼科,整形外科,リハビリテーション科,口腔外科,小児科,小児外科,産婦人科,精神科,放射線科,病理診断科,救急科,歯科,他",1163,1141,0,0,0,0,0,0,0,3624,606,7137,1403,6095,734,288.3,1339,15.8,0,0.1,0,41.6,22,0.2,9,0,7,0,95,2.4,98,4.4,16624,89,479,416,264,412,29,11,0,328,0
病院,1313010067,東京逓信病院,13,〒102－0071,東京都千代田区富士見二丁目１４番２３号,1301,区中央部,13101,東京都千代田区,〇,〇,  ,  ,"内科,小児科,放射線科,消化器内科,消化器外科,循環器内科,外科,整形外科,脳神経外科,眼科,耳鼻咽喉科,精神科,婦人科,皮膚科,泌尿器科,麻酔科,口腔外科,リハビリテーション科,心臓血管外科,内分泌科,神経内科,呼吸器外科,呼吸器内科,形成外科,救急科,病理診断科,他",477,421,0,0,0,0,0,0,0,1677,354,3663,950,3419,152,5.4,381,19.2,0,0,17,1,10,0,5,0,2,0,35,0,29,17.6,11372,10,282,234,20,135,0,0,0,228,0
病院,1313010068,台東区立台東病院,13,〒111－0031,東京都台東区千束三丁目２０番５号,1301,区中央部,13106,東京都台東区,   ,〇,〇,  ,"内科,整形外科,皮膚科,泌尿器科,眼科,耳鼻咽喉科,リハビリテーション科",40,40,0,80,80,80,80,0,0,417,29,404,52,196,12,7.8,72,7,4,0,15,1,18,0,18,0,5,0,2,0,9,4,1404,0,14,24,0,0,0,0,0,138,0
病院,1313010069,東京都立駒込病院,13,〒113－0021,東京都文京区本駒込三丁目１８番２２号,1301,区中央部,13105,東京都文京区,〇,〇,  ,  ,"内科,呼吸器内科,神経内科,精神科,小児科,外科,呼吸器外科,整形外科,リハビリテーション科,脳神経外科,形成外科,泌尿器科,婦人科,眼科,耳鼻咽喉科,口腔外科,麻酔科,放射線科,消化器内科,循環器内科,内分泌科,乳腺科,皮膚科,病理診断科,他",785,785,0,0,0,0,0,0,0,1392,393,2105,711,1562,151,113.9,731,66.8,0,0,3,6.7,5,0,1,0,2,0,41,2.5,52,32.6,21382,112,547,232,23,324,10,0,0,47,0
病院,1313010070,国立研究開発法人　国立がん研究センター中央病院,13,〒104－0045,東京都中央区築地五丁目１番１号,1301,区中央部,13102,東京都中央区,〇,  ,  ,  ,"内科,呼吸器外科,小児外科,整形外科,脳神経外科,形成外科,精神科,小児科,皮膚科,泌尿器科,婦人科,眼科,耳鼻咽喉科,放射線科,麻酔科,歯科,口腔外科,呼吸器内科,循環器内科,消化器内科,消化器外科,乳腺科,病理診断科,他",578,578,0,0,0,0,0,0,0,426,166,1403,632,622,204,123.9,631,12.4,0,0,26,0,2,0,3,0,2,0,38,1.5,58,3.9,19532,104,738,390,211,503,0,0,0,104,0
病院,1313010071,独立行政法人地域医療機能推進機構　東京高輪病院,13,〒108－0074,東京都港区高輪三丁目１０番１１号,1301,区中央部,13103,東京都港区,〇,〇,〇,  ,"内科,呼吸器内科,循環器内科,消化器内科,糖尿病内科,人工透析,脳神経内科,乳腺科,小児科,外科,整形外科,形成外科,脳神経外科,心臓血管外科,皮膚科,泌尿器科,婦人科,眼科,耳鼻咽喉科,リハビリテーション科,放射線科,病理診断科,口腔外科,他",247,244,0,0,0,0,0,0,0,1816,379,3222,771,3147,54,2.6,204,9.5,0,0,9,0.6,9,0,4,0,2,0,12,0,25,6.3,6092,14,109,98,0,24,0,0,0,147,0
病院,1313010072,日本医科大学附属病院,13,〒113－0022,東京都文京区千駄木一丁目１番５号,1301,区中央部,13105,東京都文京区,〇,  ,  ,  ,"内科,神経内科,精神科,小児科,皮膚科,麻酔科,放射線科,外科,心臓血管外科,呼吸器外科,脳神経外科,眼科,耳鼻咽喉科,産婦人科,泌尿器科,整形外科,形成外科,リウマチ科,歯科,リハビリテーション科,循環器内科,内分泌科,呼吸器内科,消化器外科,内分泌科,救急科,消化器内科,病理診断科,他",850,839,0,0,0,0,0,0,0,3991,566,15503,2275,8482,657,13.9,1065,1.2,1,0,69,3.6,10,1,4,0,3,0,82,0,132,0.8,20600,77,495,416,39,448,89,23,0,378,0
病院,1313010073,日本歯科大学附属病院,13,〒102－0071,東京都千代田区富士見二丁目３番１６号,1301,区中央部,13101,東京都千代田区,   ,〇,  ,  ,"歯科,内科,外科,口腔外科,他",42,22,0,0,0,0,0,0,0,59,0,132,0,*,5,0.6,24,0,0,0,2,0,0,0,0,0,1,0,5,0,3,0,778,0,0,0,0,0,0,0,0,0,0
病院,1313010074,日本大学歯学部付属歯科病院,13,〒101－0062,東京都千代田区神田駿河台一丁目８番地１３,1301,区中央部,13101,東京都千代田区,   ,〇,  ,  ,"歯科,口腔外科,他",24,24,0,0,0,0,0,0,0,67,0,15,11,*,2,0,16,3,0,0,1,0,0,0,0,0,0,0,3,0,1,0,448,0,0,0,0,0,0,0,0,0,0
病院,1313010075,日本大学病院,13,〒101－8309,東京都千代田区神田駿河台一丁目６番地,1301,区中央部,13101,東京都千代田区,〇,〇,  ,  ,"循環器内科,心臓血管外科,眼科,整形外科,内科,小児科,精神科,皮膚科,呼吸器外科,脳神経外科,泌尿器科,婦人科,耳鼻咽喉科,放射線科,麻酔科,病理診断科,リハビリテーション科,消化器内科,消化器外科,乳腺科,救急科,他",320,320,0,0,0,0,0,0,0,2059,434,4533,1159,3829,151,9,372,5,0,0,21,14.8,9,0,1,0,0,0,36,0,47,0.9,11883,12,28,88,10,84,0,14,0,174,0
病院,1313010077,北里大学北里研究所病院,13,〒108－0072,東京都港区白金五丁目９番１号,1301,区中央部,13103,東京都港区,   ,〇,  ,  ,"内科,脳神経内科,消化器内科,消化器外科,循環器内科,呼吸器内科,内分泌科,乳腺科,小児科,精神科,リウマチ科,外科,呼吸器外科,整形外科,リハビリテーション科,婦人科,泌尿器科,皮膚科,眼科,耳鼻咽喉科,形成外科,美容外科,麻酔科,放射線科,病理診断科,アレルギー科,救急科,他",329,243,0,0,0,0,0,0,0,1193,175,1447,331,1111,83,11.4,253,12,3,0,20,6,14,0.5,3,0.1,2,0,18,0,23,6,6400,0,184,63,0,79,0,0,0,242,0
病院,1313010082,聖カタリナ病院,13,〒104－0053,東京都中央区晴海三丁目７番１０号,1301,区中央部,13102,東京都中央区,   ,  ,〇,  ,"内科,皮膚科,整形外科,小児科",0,0,0,41,41,41,41,0,0,0,0,0,0,0,3,7,17,0,0,0,4,0,1,0,1,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,22,0
病院,1313020001,ＮＴＴ東日本関東病院,13,〒141－0022,東京都品川区東五反田五丁目９番２２号,1302,区南部,13109,東京都品川区,〇,〇,  ,  ,"内科,小児科,呼吸器内科,放射線科,外科,整形外科,産婦人科,眼科,耳鼻咽喉科,精神科,リハビリテーション科,心臓血管外科,脳神経外科,皮膚科,泌尿器科,口腔外科,循環器内科,救急科,糖尿病内科,病理診断科,消化器内科,脳神経内科,乳腺科,呼吸器外科,リウマチ科,他",577,542,0,0,0,0,0,0,0,2247,425,4492,1107,3946,202,48.3,686,3.6,0,0,0,1.4,24,0,11,0,6,0,38,0,81,2,18175,0,227,183,0,118,0,0,0,461,0
病院,1313020002,いすゞ病院,13,〒140－0013,東京都品川区南大井六丁目２１番１０号,1302,区南部,13109,東京都品川区,   ,〇,  ,  ,"内科,外科,整形外科,眼科,皮膚科,リハビリテーション科,消化器内科,循環器内科,糖尿病内科,呼吸器内科,神経内科,放射線科",20,18,0,0,0,0,0,0,0,*,0,*,0,27,7,4.9,23,0.7,1,0,0,0,2,0,0,0,0,0,1,0,8,0.4,335,0,0,0,0,0,0,0,0,0,0
病院,1313020006,稲波脊椎・関節病院,13,〒140－0002,東京都品川区東品川三丁目１７番５号,1302,区南部,13109,東京都品川区,   ,〇,  ,  ,"整形外科,内科,リハビリテーション科,放射線科,麻酔科",60,60,0,0,0,0,0,0,0,0,0,0,0,0,15,9.5,49,6.8,3,0,9,0.2,6,0.2,0,0,0,0,9,0,6,2.4,1700,0,0,12,0,107,0,0,0,149,0
病院,1313020007,康済クリニック,13,〒142－0062,東京都品川区小山三丁目４番１７号,1302,区南部,13109,東京都品川区,   ,  ,  ,〇,内科,0,0,0,252,252,0,0,252,252,0,0,0,0,0,1,5.5,11,20.1,32,6.6,74,0.6,0,0.3,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0
病院,1313020008,大井中央病院,13,〒140－0014,東京都品川区大井四丁目１１番２７号,1302,区南部,13109,東京都品川区,   ,  ,〇,〇,"内科,外科,整形外科,呼吸器内科,アレルギー科,婦人科,リハビリテーション科,循環器内科,消化器内科,糖尿病内科",20,20,20,35,35,35,35,0,0,0,0,0,0,0,2,2.9,10,4.5,8,2,5,2.7,0,0,0,0,0,0,0,0,0,1.9,159,0,0,0,0,0,0,0,0,0,27
病院,1313020009,牧田総合病院,13,〒144－8501,東京都大田区西蒲田八丁目２０番１号,1302,区南部,13111,東京都大田区,〇,〇,  ,  ,"内科,呼吸器内科,循環器内科,消化器内科,糖尿病内科,内分泌科,神経内科,人工透析,外科,呼吸器外科,消化器外科,乳腺科,肛門科,整形外科,脳神経外科,形成外科,精神科,皮膚科,泌尿器科,産婦人科,眼科,耳鼻咽喉科,リハビリテーション科,放射線科,病理診断科,救急科,麻酔科,小児科,歯科,口腔外科,他",246,246,0,38,0,38,0,0,0,4239,406,5886,858,5909,44,8.6,250,18.7,4,0,45,2.6,38,0,12,0,10,0,15,0,24,11.9,6546,0,208,73,0,55,0,0,0,271,0
病院,1313020010,大森山王病院,13,〒143－0023,東京都大田区山王三丁目９番６号,1302,区南部,13111,東京都大田区,   ,  ,〇,〇,"内科,リハビリテーション科",30,30,0,35,35,35,35,0,0,46,23,49,21,62,4,3.8,31,7,11,0,15,0,4,0,0,0.5,0,0,0,0,7,0,405,0,0,0,0,0,0,0,0,0,22
病院,1313020011,松井病院,13,〒146－0082,東京都大田区池上二丁目７番１０号,1302,区南部,13111,東京都大田区,   ,〇,  ,〇,"内科,呼吸器内科,循環器内科,消化器内科,消化器外科,外科,肛門科,整形外科,婦人科,眼科,リハビリテーション科,脳神経外科,他",144,134,144,0,0,0,0,0,0,1286,131,1264,222,1029,12,18.6,58,24.1,9,3.3,12,8.3,12,0,1,0,0,0,2,1.4,8,1.7,1699,0,79,56,0,0,0,17,0,134,0
病院,1313020013,旗の台病院,13,〒142－0064,東京都品川区旗の台五丁目１７番１６号,1302,区南部,13109,東京都品川区,   ,〇,  ,  ,"内科,外科,脳神経外科,整形外科",126,126,0,0,0,0,0,0,0,681,97,1991,365,1693,2,12.5,16,2.5,5,0,4,3.5,0,0.1,0,0.1,0,0,0,0,4,1.5,715,22,15,10,0,44,0,0,0,0,0
病院,1313020016,京浜病院,13,〒143－0013,東京都大田区大森南一丁目１４番１３号,1302,区南部,13111,東京都大田区,   ,  ,  ,〇,"内科,外科,整形外科,脳神経外科,リハビリテーション科,精神科,皮膚科",0,0,0,71,61,71,61,0,0,0,0,0,0,0,3,4,11,13.3,5,1.9,18,5.8,3,0.3,0,0,0,0,0,0,2,1.7,137,0,0,0,0,0,0,0,0,0,0
病院,1313020017,新京浜病院,13,〒143－0013,東京都大田区大森南一丁目２番１９号,1302,区南部,13111,東京都大田区,   ,  ,  ,〇,"内科,リハビリテーション科",0,0,0,144,134,84,78,60,56,0,0,0,0,0,2,3,4,5.4,9,1.1,16,10,2,1,1,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,72,35
診療所,1313020019,幸和診療所（介護医療院　併設）,13,〒144－0047,東京都大田区萩中三丁目２９番５号　地下１階・地上１階,1302,区南部,13111,東京都大田区,   ,  ,  ,〇,内科,0,0,0,60,60,0,0,60,60,0,0,0,0,0,1,2.1,8,0,12,4,18,0,0,0,0,0.2,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
病院,1313020021,田園調布中央病院,13,〒145－0071,東京都大田区田園調布二丁目４３番１号,1302,区南部,13111,東京都大田区,   ,〇,  ,  ,"内科,外科,消化器内科,肛門科,眼科,皮膚科,呼吸器内科,麻酔科,呼吸器外科,形成外科,泌尿器科,リハビリテーション科,整形外科",91,86,0,0,0,0,0,0,0,489,63,945,167,996,8,7.1,60,8.9,1,5.1,9,3.5,11,0,2,0,2,0,2,0.9,8,3.4,1988,0,62,38,0,20,0,0,0,85,0
病院,1313020022,目蒲病院,13,〒146－0092,東京都大田区下丸子三丁目２３番３号,1302,区南部,13111,東京都大田区,   ,〇,  ,〇,"内科,外科,整形外科,リハビリテーション科,神経内科,リウマチ科,糖尿病内科,呼吸器内科,循環器内科,他",41,36,0,24,21,24,21,0,0,58,*,*,0,45,4,3.3,4,7,6,4.5,7,2.5,5,0,0,0,0,0,0,0,1,0.1,360,0,0,0,0,0,0,0,0,43,0
病院,1313020023,池上総合病院,13,〒146－0082,東京都大田区池上六丁目１番１９号,1302,区南部,13111,東京都大田区,〇,〇,〇,〇,"内科,呼吸器内科,神経内科,外科,整形外科,脳神経外科,眼科,泌尿器科,婦人科,耳鼻咽喉科,放射線科,麻酔科,口腔外科,リハビリテーション科,呼吸器外科,皮膚科,リウマチ科,小児科,心臓血管外科,糖尿病内科,救急科,消化器内科,循環器内科,病理診断科,他",290,290,42,94,94,94,94,0,0,3516,370,4762,782,3455,57,13.1,259,10.8,22,7.4,34,14.6,22,1.4,3,0,2,0,12,0,28,3.1,7670,0,320,139,0,29,11,22,0,269,51
病院,1313020024,大村病院,13,〒140－0014,東京都品川区大井三丁目２７番１１号,1302,区南部,13109,東京都品川区,   ,〇,  ,〇,"内科,呼吸器内科,皮膚科",17,17,0,28,28,28,28,0,0,13,0,20,0,0,2,3.68,9,1.14,6,1.14,5,3.57,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,30
病院,1313020025,本多病院,13,〒146－0094,東京都大田区東矢口一丁目１７番１５号,1302,区南部,13111,東京都大田区,   ,〇,  ,  ,"内科,整形外科,リハビリテーション科,眼科,神経内科,呼吸器内科,糖尿病内科,消化器内科,循環器内科",47,47,0,0,0,0,0,0,0,352,32,472,92,530,4,5.4,12,7.2,7,0.8,3,0,5,0.8,1,0,0,0,0,0,2,0.7,422,13,14,10,0,0,0,0,0,34,0
病院,1313020027,若葉眼科病院,13,〒144－0052,東京都大田区蒲田四丁目２２番１１号,1302,区南部,13111,東京都大田区,   ,〇,  ,  ,眼科,20,20,0,0,0,0,0,0,0,0,0,0,0,0,3,4.3,8,3.3,3,0.8,2,0.6,0,0,0,0,0,0,1,0.5,2,1.2,1052,0,0,0,0,0,0,0,0,0,0
病院,1313020028,渡辺病院,13,〒144－0043,東京都大田区羽田一丁目５番１６号,1302,区南部,13111,東京都大田区,   ,〇,  ,〇,"内科,小児科,外科,整形外科,泌尿器科,リハビリテーション科,乳腺科",44,44,0,26,0,26,0,0,0,627,21,521,83,118,5,4.8,18,7.3,1,1.2,4,0,1,0.2,0,0,0,0,0,0.8,7,1.3,844,15,42,31,0,11,0,0,0,0,0
病院,1313020030,阿部病院,13,〒141－0022,東京都品川区東五反田一丁目６番８号,1302,区南部,13109,東京都品川区,   ,  ,  ,〇,内科,0,0,0,84,84,84,84,0,0,0,0,*,0,0,1,3.2,9,6.9,3,1.6,17,5.4,1,0,0,0,0,0,0,0,2,0,67,0,0,0,0,0,0,0,0,0,58
病院,1313020031,糀谷病院,13,〒144－0035,東京都大田区南蒲田三丁目３番１５号,1302,区南部,13111,東京都大田区,   ,  ,  ,〇,"内科,放射線科,リハビリテーション科",0,0,0,88,88,88,88,0,0,0,0,0,0,0,1,3.4,20,1.6,7,0,28,0.5,2,0.2,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,74,62
病院,1313020034,蒲田リハビリテーション病院,13,〒143－0015,東京都大田区大森西四丁目１４番５号,1302,区南部,13111,東京都大田区,   ,  ,〇,  ,リハビリテーション科,0,0,0,180,180,180,180,0,0,0,0,0,0,0,6,2.36,86,0.5,0,0,35,4.4,83,0,44,0,20,0,0,0,1,0,764,0,0,0,0,0,0,0,0,236,0
病院,1313020035,五反田リハビリテーション病院,13,〒141－0031,東京都品川区西五反田八丁目８番２０号,1302,区南部,13109,東京都品川区,   ,  ,〇,  ,リハビリテーション科,0,0,0,240,240,240,240,0,0,0,0,0,0,0,8,2.25,115,0.77,3,0,66,0,111,0,37,0,15,0,0,0,2,0.03,1101,0,0,0,0,0,0,0,0,300,0
病院,1313020036,公益財団法人河野臨牀医学研究所附属　第三北品川病院,13,〒140－0001,東京都品川区北品川三丁目３番７号,1302,区南部,13109,東京都品川区,〇,〇,  ,  ,"内科,循環器内科,消化器内科,消化器外科,糖尿病内科,神経内科,外科,整形外科,脳神経外科,形成外科,リウマチ科,リハビリテーション科,放射線科,他",114,114,96,0,0,0,0,0,0,1292,91,2641,311,2847,10,6.6,81,3.3,1,0,12,2.5,12,0.1,3,0,0,0,6,0.7,10,1.9,1830,0,30,36,0,0,0,0,0,97,0
病院,1313020037,公益財団法人河野臨牀医学研究所附属　品川リハビリテーション病院,13,〒141－0001,東京都品川区北品川五丁目２番１号,1302,区南部,13109,東京都品川区,   ,  ,〇,〇,"リハビリテーション科,内科",0,0,0,130,88,130,88,0,0,0,0,0,0,0,4,1.1,27,2.1,3,0.4,13,2.3,25,0,12,0.1,7,0,0,0,0,0,25,0,0,0,0,0,0,0,0,90,18
病院,1313020038,公益財団法人東京都保健医療公社　荏原病院,13,〒145－0065,東京都大田区東雪谷四丁目５番１０号,1302,区南部,13111,東京都大田区,〇,〇,〇,  ,"内科,精神科,神経内科,小児科,外科,整形外科,形成外科,脳神経外科,皮膚科,泌尿器科,産婦人科,眼科,耳鼻咽喉科,リハビリテーション科,放射線科,麻酔科,口腔外科,乳腺科,循環器内科,消化器外科,病理診断科,他",456,403,0,0,0,0,0,0,0,3855,546,5441,1151,4573,79,42.6,261,38,0,0,0,51.9,12,0,6,0.8,4,0,19,1.5,14,27,10020,22,270,121,0,47,0,0,0,228,0
病院,1313020040,高野病院,13,〒144－0033,東京都大田区東糀谷三丁目３番２４号,1302,区南部,13111,東京都大田区,   ,  ,  ,〇,"内科,外科,整形外科,脳神経外科,皮膚科,眼科,リハビリテーション科",0,0,0,80,74,80,74,0,0,0,0,0,0,0,4,2.5,7,4,8,1.6,13,0.4,0,0,0,0,0,0,0,0,1,0.7,130,0,0,0,0,0,0,0,0,0,78
病院,1313020043,牧田リハビリテーション病院,13,〒144－0051,東京都大田区西蒲田四丁目２２番１号,1302,区南部,13111,東京都大田区,   ,  ,〇,〇,"内科,リハビリテーション科",0,0,0,120,120,120,120,0,0,0,0,0,0,0,8,2,52,5.6,4,0,29,1.5,33,0,15,0,6,0,0,0,4,0,310,0,0,0,0,0,19,0,17,128,54
病院,1313020044,昭和大学歯科病院,13,〒145－0062,東京都大田区北千束二丁目１番１号,1302,区南部,13111,東京都大田区,   ,〇,  ,  ,"歯科,口腔外科,他",22,22,0,0,0,0,0,0,0,43,0,84,0,36,1,0,26,0,1,0,0,0,0,0,0,0,2,0,7,0,1,0,1470,0,0,0,0,0,0,0,0,0,0
病院,1313020045,昭和大学病院,13,〒142－0064,東京都品川区旗の台一丁目５番８号,1302,区南部,13109,東京都品川区,〇,  ,  ,  ,"小児科,整形外科,美容外科,産科,婦人科,精神科,形成外科,脳神経外科,呼吸器外科,心臓血管外科,小児外科,皮膚科,泌尿器科,眼科,耳鼻咽喉科,リハビリテーション科,麻酔科,歯科,神経内科,アレルギー科,リウマチ科,呼吸器内科,消化器内科,消化器外科,循環器内科,糖尿病内科,内分泌科,乳腺科,救急科,内分泌科,肛門科,放射線診断科,病理診断科,他",815,797,0,0,0,0,0,0,0,3160,428,6030,2002,4924,538,559,926,3.9,0,0,8,0,11,0,8,0,5,0,62,0,90,2.2,28082,76,786,449,27,233,39,53,0,346,0
病院,1313020046,昭和大学病院　附属東病院,13,〒142－0054,東京都品川区西中延二丁目１４番１９号,1302,区南部,13109,東京都品川区,   ,〇,  ,  ,"内科,精神科,神経内科,外科,皮膚科,眼科,放射線診断科,麻酔科,脳神経外科,整形外科,リハビリテーション科,形成外科,アレルギー科,リウマチ科,呼吸器内科,糖尿病内科,内分泌科,他",199,192,0,0,0,0,0,0,0,243,30,215,73,91,76,25.6,171,0,0,0,1,0,5,0,3,0,0,0,15,0,16,0,4626,0,100,14,0,0,0,0,0,122,0
病院,1313020048,大崎病院東京ハートセンター,13,〒141－0001,東京都品川区北品川五丁目４番１２号,1302,区南部,13109,東京都品川区,〇,〇,  ,  ,"循環器内科,心臓血管外科",88,51,0,0,0,0,0,0,0,88,33,165,65,209,11,1.1,60,1.4,0,0,6,1.2,2,0,0,0,0,0,4,0.4,5,0.1,2017,0,0,0,0,0,0,0,0,0,0
病院,1313020050,大田病院,13,〒143－0012,東京都大田区大森東四丁目４番１４号,1302,区南部,13111,東京都大田区,〇,〇,〇,  ,"内科,小児科,外科,整形外科,肛門科,婦人科,眼科,皮膚科,泌尿器科,呼吸器内科,リハビリテーション科,耳鼻咽喉科,神経内科,麻酔科,精神科,他",189,189,0,0,0,0,0,0,0,814,132,1546,451,1362,11,5,122,29.3,8,3.4,5,10.1,23,0,18,1.7,6,0,0,0,9,2.9,3372,0,95,59,0,0,0,14,0,201,0
病院,1313020053,東京ちどり病院,13,〒146－0083,東京都大田区千鳥二丁目３９番１０号,1302,区南部,13111,東京都大田区,   ,〇,〇,〇,"内科,外科,整形外科,皮膚科,リハビリテーション科,放射線科,神経内科,呼吸器外科,脳神経外科,消化器内科,循環器内科",38,38,20,60,60,60,60,0,0,90,0,*,*,24,5,3.1,43,6.1,6,2.8,17,1.2,29,0.2,14,0.2,6,0,0,0,1,0.9,687,0,0,0,0,0,0,0,0,90,0
病院,1313020054,東京蒲田病院,13,〒144－0051,東京都大田区西蒲田七丁目１０番１号,1302,区南部,13111,東京都大田区,   ,〇,  ,〇,"内科,循環器内科,泌尿器科,整形外科,人工透析,消化器内科,リハビリテーション科,呼吸器内科,心臓血管外科",100,100,0,80,80,80,80,0,0,783,118,1312,504,1743,11,6,62,4.7,22,1,29,1.2,9,0.2,2,0,0,0,1,0,5,1.2,3038,0,89,45,0,0,0,15,0,77,0
病院,1313020055,東急株式会社　東急病院,13,〒145－0062,東京都大田区北千束三丁目２７番２号,1302,区南部,13111,東京都大田区,   ,〇,〇,  ,"内科,精神科,外科,整形外科,脳神経外科,皮膚科,泌尿器科,婦人科,眼科,耳鼻咽喉科,リハビリテーション科,放射線科,麻酔科,糖尿病内科,神経内科,呼吸器内科,消化器外科,肛門科,循環器内科,他",135,135,135,0,0,0,0,0,0,829,149,585,142,431,23,8.63,148,4.05,1,0,14,1.85,11,0,5,0,1,0,11,0,30,4.05,2630,0,66,23,0,15,0,0,0,44,0
病院,1313020056,東京品川病院,13,〒140－0011,東京都品川区東大井六丁目３番２２号,1302,区南部,13109,東京都品川区,   ,〇,〇,  ,"内科,消化器内科,呼吸器内科,乳腺科,神経内科,産婦人科,泌尿器科,眼科,皮膚科,麻酔科,口腔外科,循環器内科,小児科,外科,整形外科,リハビリテーション科,耳鼻咽喉科,放射線科,病理診断科,脳神経外科,救急科,脳神経内科,形成外科,呼吸器外科,心臓血管外科,他",296,130,119,0,0,0,0,0,0,933,253,1499,612,1583,49,6.9,294,0.3,4,0,43,0.5,59,0,21,0,10,0,22,0,45,0.3,43,0,210,93,0,31,0,0,0,193,0
病院,1313020057,東邦大学医療センター大森病院,13,〒143－0015,東京都大田区大森西六丁目１１番１号,1302,区南部,13111,東京都大田区,〇,〇,  ,  ,"内科,小児科,放射線科,外科,整形外科,眼科,耳鼻咽喉科,精神科,消化器内科,呼吸器内科,形成外科,美容外科,脳神経外科,呼吸器外科,心臓血管外科,小児外科,皮膚科,泌尿器科,肛門科,リハビリテーション科,麻酔科,歯科,産科,婦人科,口腔外科,心療内科,リウマチ科,アレルギー科,救急科,病理診断科,他",900,900,0,0,0,0,0,0,0,5032,188,9431,563,6240,484,12.24,1031,8.9,3,0,52,0.9,14,0,6,0,3,0,74,3.5,88,3.2,27730,39,714,380,90,200,39,39,0,388,0
病院,1313020058,独立行政法人地域医療機能推進機構　東京蒲田医療センター,13,〒144－0035,東京都大田区南蒲田二丁目１９番２号,1302,区南部,13111,東京都大田区,   ,〇,  ,  ,"内科,放射線科,外科,皮膚科,泌尿器科,産婦人科,整形外科,眼科,耳鼻咽喉科,脳神経外科,麻酔科,リハビリテーション科,消化器内科,口腔外科",230,201,0,0,0,0,0,0,0,1666,365,1278,526,1942,44,0.8,165,2.8,6,2.1,19,4.5,7,0,3,0,2,0,10,0.4,16,2.4,4112,0,144,49,0,0,0,0,0,129,0
